id,type,red,gray,cryst,misc,n_pebbles
103,T,72.6,22.6,3.1,1.8,226
104,P,63.6,32.6,1.8,1.7,683
105,T,81.6,10,4.5,3.9,359
106,T,65.3,19.9,9.9,4.9,453
107,T,95.6,4.2,0.2,0,427
108,T,79,16.8,3,1.2,334
109,T,92.6,6.3,1.1,0,364
110,T,89.5,9.8,0.5,0.1,869
111,T,91.2,7.7,1.1,0,441
112,T,95.3,3.6,1.1,0,615
113,T,91.9,7.5,0.4,0.2,532
114,T,89.4,0.7,1,1.9,417
115,T,89.4,9.2,1.4,0,360
116,T,95.2,3.6,1.2,0,580
116A,T,95.9,4.1,0,0,147
117,T,94,4.8,1.2,0,500
118,T,83.4,15.7,0.7,0.2,943
119,T,15.7,84.3,0,0,305
121,S,19,81,0,0,21
121A,P,8.9,85.5,1.9,3.5,734
122,T,7.8,90.6,0.8,0.8,1151
123,T,18.2,76.6,0.4,4.8,457
124,P,18.9,78.9,1.2,0.9,635
124A,T,27.5,71.4,1.1,0,637
125,T,51.1,46.5,0.3,2.1,284
126,T,7,89.4,1.8,1.3,386
127,T,80.1,19,0,0.5,221
128,T,73.1,23.6,1.4,1.9,208
130,T,74.9,14.7,4.7,5.8,573
132,P,56.5,38.1,2.1,3.1,608
134,P,88.6,7.4,1.1,2.7,716
135,T,79.6,17.3,0.7,2.3,565
136,T,74.1,20,2.9,2.9,170
137,T,73.2,21.5,1.9,3.1,261
138,T,0.1,99.9,0,0,1097
139,T,77.9,21.1,0,1,408
140,T,45.8,33.3,8.3,12.5,24
141,T,26.7,39.6,2.9,14.9,890
142,T,8.9,71.1,9.4,1.1,180
143,T,57.7,35.1,3.6,3.6,168
144A,T,54.5,40.9,4.5,0,22
145,P,28,53.4,0.5,0.5,824
146,P,22.5,75.1,1.2,1,647
147,T,70.5,28.8,0.7,0,601
148,T,11.5,87.4,1.1,0,364
149,T,27.8,71.9,0.3,0,342
150,T,22.4,76.9,0.6,0,867
151,T,20.1,78.3,0.1,1.4,691
152,T,15.8,83.5,0.6,0,462
153,T,91.5,6.6,0.3,1.6,318
154,T,90,8.2,1.3,0.4,461
155,T,75.7,21,0.6,2.8,777
156,P,75.7,4,0.7,1.7,874
157,T,85.6,13.4,1,0,397
158,P,81.1,13.8,0.8,4.1,811
159,P,69.1,10.6,0.8,0.9,864
160,P,87.1,11.9,0.2,0.5,685
161,T,88.5,9.2,1.7,0.5,347
162,P,58.2,41.3,2.4,1.9,573
163,T,71,25.8,1.5,1.8,744
164,P,11.4,59.1,0.9,0.7,587
165,P,32.6,64,0.4,2.8,670
166,T,11.5,86.1,2.3,0.2,576
167,T,4.5,95,0,0,321
168,T,21.2,72.8,0.8,5.2,382
169,T,19.5,78.1,0.8,1.6,645
170,P,11.1,68.4,1.5,0.3,910
171,T,15,80.6,1.7,2.6,459
172,T,27,70.2,1.3,1.5,681
173,T,15.9,83.3,0.8,0,245
174,T,16.9,74.3,1.2,5.9,575
175,T,31.4,65.9,2.7,0,698
